ref_site,id_station_itinerance,nom_station,adresse_station,reference,type_connector,power_max,status,pricing_syder,pricing_syder_currency,pricing_duration_syder,tarif_heures_creuses,tarif_heures_pleines,rate,time_threshold,begin_free_hour,end_free_hour,json_path
FR*QOV*01-00001,FRQOV0100001,1689 ROUTE DE SAINT TRIVIER CESSEINS,1689 ROUTE DE SAINT TRIVIER CESSEINS 01090 FRANCHELEINS,,,,,,,,0.2637,0.3182,,,,,$.data
FR*QOV*01-00001,FRQOV0100001,1689 ROUTE DE SAINT TRIVIER CESSEINS,1689 ROUTE DE SAINT TRIVIER CESSEINS 01090 FRANCHELEINS,204513-01,Type 2,22000,Occupied,0.3504,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,,,,,,,,0.0,0.41,,,,,$.data
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,794142-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,793647-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,793521-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,791922-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*01-00002,FRQOV0100002,500 RUE MALAFRETOISE,500 RUE MALAFRETOISE 01340 MALAFRETAZ,794722-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*02-00001,FRQOV0200001,CD24 ROUTE DE LIESSE,CD24 ROUTE DE LIESSE 02820 ST ERME OUTRE ET RAMECOURT,,,,,,,,0.2637,0.3182,,,,,$.data
FR*QOV*02-00001,FRQOV0200001,CD24 ROUTE DE LIESSE,CD24 ROUTE DE LIESSE 02820 ST ERME OUTRE ET RAMECOURT,206720-01,Type 2,22000,Available,0.38184,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*02-00001,FRQOV0200001,CD24 ROUTE DE LIESSE,CD24 ROUTE DE LIESSE 02820 ST ERME OUTRE ET RAMECOURT,203975-01,Type 2,22000,Available,0.38184,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,,,,,,,,0.0,0.41,,,,,$.data
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,748235-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,791800-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,755417-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,752283-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*02-00002,FRQOV0200002,139 AVENUE DE SOISSONS,139 AVENUE DE SOISSONS 02400 CHATEAU THIERRY,1581235-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,,,,,,,,0.2637,0.3182,,,,,$.data
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,182621-01,Type 2,22000,Unavailable,0.3504,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,182589-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,182822-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,182082-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,182432-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,207355-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[5].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,206738-01,Type 2,22000,Occupied,0.3504,€,,,,,,,,$.data.bornes[6].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,752327-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[7].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,1584218-01,Type 2,22000,Occupied,0.3504,€,,,,,,,,$.data.bornes[8].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,1588020-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[9].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,1588306-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[10].connectors[0]
FR*QOV*06-00001,FRQOV0600001,2229 ROUTE DES CRETES,2229 ROUTE DES CRETES 06560 VALBONNE,1577842-01,Type 2,22000,Available,,€,,,,,,,,$.data.bornes[11].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,,,,,,,,0.17,0.2276,,,,,$.data
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2024470041653a-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2024470106ecc0-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU20244701396711-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU20245000192532-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU202450000696f0-01,Type 2,22000,Unavailable,0.3504,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2024470167e653-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[5].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU20245000022fae-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[6].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2024500016b209-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[7].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2025100227875e-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[8].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU20251200291a41-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[9].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU2024470159a136-01,Type 2,22000,Unavailable,0.3504,€,,,,,,,,$.data.bornes[10].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,V25EL0EU20251001523c86-01,Type 2,22000,Available,0.3504,€,,,,,,,,$.data.bornes[11].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041950-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[12].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041951-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[13].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041935-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[14].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041970-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[15].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041937-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[16].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041953-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[17].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041946-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[18].connectors[0]
FR*QOV*06-00009,FRQOV0600009,444bis Route des Dolines,444bis Route des Dolines 06560 VALBONNE,PBLR-0041972-01,Type 2,22000,Available,0.27312,€,,,,,,,,$.data.bornes[19].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,,,,,,,,0.0,0.41,,,,,$.data
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,748686-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,796932-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,797135-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,801260-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,800874-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,791977-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[5].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,792406-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[6].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,793569-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[7].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,791995-01,Type 2,22000,Unavailable,0.492,€,,,,,,,,$.data.bornes[8].connectors[0]
FR*QOV*11-00007,FRQOV1100007,110 RUE YVES DE KERGUELEN,110 RUE YVES DE KERGUELEN 11000 CARCASSONNE,791200-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[9].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,,,,,,,,0.3137,0.3682,,,,,$.data
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,800880-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,793879-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[1].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,793650-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[2].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,794204-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[3].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,790861-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[4].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,793495-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[5].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,793493-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[6].connectors[0]
FR*QOV*11-00008,FRQOV1100008,2 RUE DARIUS MILHAUD,2 RUE DARIUS MILHAUD 11000 CARCASSONNE,1586832-01,Type 2,22000,Available,0.44184,€,,,,,,,,$.data.bornes[7].connectors[0]
FR*QOV*12-00001,FRQOV1200001,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS 12000 RODEZ,,,,,,,,0.0,0.41,,,,,$.data
FR*QOV*12-00001,FRQOV1200001,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS 12000 RODEZ,749051-01,Type 2,22000,Available,0.492,€,,,,,,,,$.data.bornes[0].connectors[0]
FR*QOV*12-00001,FRQOV1200001,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS,1 AVENUE DE L'ENTREPRISE PARC COMMERCIAL DES MOUTIERS 12000 RODEZ,798395-01,Type 2,22000,Unavailable,0.492,€,,,,,,,,$.data.bornes[1].connectors[0]
